"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"18","KIM Suji","KOR","205C","2.8","6.0","6.5","6.0","6.0","6.0","6.0","6.0","50.40","=28","161.70","20","49.80","preliminary","women's 3m springboard"
"18","KIM Suji","KOR","305C","2.8","6.0","6.0","6.0","6.0","6.5","6.0","6.0","50.40","23","212.10","20","76.90","preliminary","women's 3m springboard"
"18","KIM Suji","KOR","5152B","3.0","6.5","7.0","6.5","7.0","6.5","6.5","7.0","60.00","=9","272.10","18","78.40","preliminary","women's 3m springboard"
"19","KHAMULKINA Alena","BLR","205B","3.0","5.5","5.0","5.5","6.0","5.5","5.0","5.0","48.00","=38","48.00","=38","19.50","preliminary","women's 3m springboard"
"19","KHAMULKINA Alena","BLR","305B","3.0","6.0","6.5","6.0","6.0","7.0","6.5","7.0","57.00","16","105.00","=25","34.50","preliminary","women's 3m springboard"
"19","KHAMULKINA Alena","BLR","405B","3.0","7.0","7.0","6.5","7.0","6.5","6.5","7.0","61.50","=10","166.50","16","45.00","preliminary","women's 3m springboard"
"19","KHAMULKINA Alena","BLR","107B","3.1","5.5","6.0","5.5","6.0","6.5","6.0","6.5","55.80","=15","222.30","15","66.70","preliminary","women's 3m springboard"
"19","KHAMULKINA Alena","BLR","5152B","3.0","5.5","5.0","5.5","6.0","5.5","6.5","5.5","49.50","=34","271.80","19","78.70","preliminary","women's 3m springboard"
"20","POLIAKOVA Mariia","RUS","205B","3.0","6.5","5.5","6.0","6.0","6.0","6.5","6.0","54.00","=26","54.00","=26","13.50","preliminary","women's 3m springboard"
"20","POLIAKOVA Mariia","RUS","305B","3.0","5.0","5.0","5.5","5.5","5.0","5.0","5.0","45.00","36","99.00","32","40.50","preliminary","women's 3m springboard"
"20","POLIAKOVA Mariia","RUS","405B","3.0","6.5","6.5","6.5","7.5","7.0","7.0","7.5","61.50","=10","160.50","23","51.00","preliminary","women's 3m springboard"
"20","POLIAKOVA Mariia","RUS","107B","3.1","5.0","5.5","5.0","5.5","5.5","5.0","5.0","48.05","26","208.55","23","80.45","preliminary","women's 3m springboard"
"20","POLIAKOVA Mariia","RUS","5152B","3.0","7.0","6.5","7.0","7.5","6.5","7.5","7.0","63.00","=5","271.55","20","78.95","preliminary","women's 3m springboard"
"21","WARE Pamela","CAN","205B","3.0","7.0","6.5","7.5","6.5","6.5","7.0","7.0","61.50","=7","61.50","=7","6.00","preliminary","women's 3m springboard"
"21","WARE Pamela","CAN","107B","3.1","2.5","2.0","2.0","2.5","3.5","3.0","3.0","24.80","47","86.30","41","53.20","preliminary","women's 3m springboard"
"21","WARE Pamela","CAN","405B","3.0","7.5","7.5","7.5","7.0","7.5","7.0","7.5","67.50","=3","153.80","28","57.70","preliminary","women's 3m springboard"
"21","WARE Pamela","CAN","305B","3.0","5.5","5.5","6.0","5.0","6.5","6.0","6.5","52.50","=20","206.30","24","82.70","preliminary","women's 3m springboard"
"21","WARE Pamela","CAN","5337D","3.5","6.0","6.5","6.0","6.0","5.5","5.5","6.0","63.00","=5","269.30","21","81.20","preliminary","women's 3m springboard"
"22","ARNAUTOVA Anna","UKR","405C","2.7","6.0","6.5","6.0","6.0","6.0","5.5","6.0","48.60","=35","48.60","=35","18.90","preliminary","women's 3m springboard"
"22","ARNAUTOVA Anna","UKR","107B","3.1","5.0","6.0","6.0","6.0","5.5","6.0","6.0","55.80","=17","104.40","27","35.10","preliminary","women's 3m springboard"
"22","ARNAUTOVA Anna","UKR","205B","3.0","6.0","5.5","6.5","5.5","6.5","6.5","7.0","57.00","=15","161.40","21","50.10","preliminary","women's 3m springboard"
"22","ARNAUTOVA Anna","UKR","305B","3.0","6.5","7.0","6.5","6.5","7.0","6.5","7.5","60.00","=11","221.40","16","67.60","preliminary","women's 3m springboard"
"22","ARNAUTOVA Anna","UKR","5152B","3.0","5.0","4.5","5.0","5.0","5.0","5.0","4.5","45.00","=40","266.40","22","84.10","preliminary","women's 3m springboard"
"23","PINEDA ZULETA Diana Isabel","COL","205B","3.0","6.0","6.5","6.0","6.5","6.0","5.5","6.5","55.50","=21","55.50","=21","12.00","preliminary","women's 3m springboard"
"23","PINEDA ZULETA Diana Isabel","COL","405B","3.0","6.0","6.0","5.5","6.0","5.5","6.0","6.5","54.00","=24","109.50","19","30.00","preliminary","women's 3m springboard"
"23","PINEDA ZULETA Diana Isabel","COL","105B","2.4","6.5","5.0","6.0","6.0","6.5","6.0","6.5","44.40","40","153.90","27","57.60","preliminary","women's 3m springboard"
"23","PINEDA ZULETA Diana Isabel","COL","305B","3.0","7.0","6.5","6.5","6.0","7.5","7.0","7.5","61.50","9","215.40","19","73.60","preliminary","women's 3m springboard"
"23","PINEDA ZULETA Diana Isabel","COL","5337D","3.5","4.5","5.0","4.0","4.5","5.0","5.0","5.0","50.75","33","266.15","23","84.35","preliminary","women's 3m springboard"
"24","JANSEN Inge","NED","205B","3.0","6.5","6.5","6.5","6.0","6.5","7.0","6.0","58.50","=12","58.50","=12","9.00","preliminary","women's 3m springboard"
"24","JANSEN Inge","NED","5152B","3.0","6.0","5.5","6.0","6.0","6.0","5.5","6.0","54.00","=24","112.50","=15","27.00","preliminary","women's 3m springboard"
"24","JANSEN Inge","NED","305B","3.0","5.0","4.0","5.0","3.5","4.0","4.5","4.5","39.00","44","151.50","29","60.00","preliminary","women's 3m springboard"
"24","JANSEN Inge","NED","107B","3.1","6.5","6.5","6.5","6.5","6.5","6.5","6.5","60.45","10","211.95","21","77.05","preliminary","women's 3m springboard"
"24","JANSEN Inge","NED","405B","3.0","5.5","6.5","6.0","6.0","6.5","6.0","6.0","54.00","=22","265.95","24","84.55","preliminary","women's 3m springboard"
"25","NILSSON GARIP Emilia","SWE","205B","3.0","6.5","6.5","6.0","6.5","6.5","7.0","6.0","58.50","=12","58.50","=12","9.00","preliminary","women's 3m springboard"
"25","NILSSON GARIP Emilia","SWE","405B","3.0","3.5","4.0","3.5","4.0","3.5","3.5","3.0","31.50","=44","90.00","39","49.50","preliminary","women's 3m springboard"
"25","NILSSON GARIP Emilia","SWE","107B","3.1","5.5","5.0","5.0","6.0","5.0","5.0","5.5","48.05","36","138.05","38","73.45","preliminary","women's 3m springboard"
"25","NILSSON GARIP Emilia","SWE","305B","3.0","6.0","6.5","5.5","6.0","6.0","6.0","7.0","54.00","=17","192.05","30","96.95","preliminary","women's 3m springboard"
"25","NILSSON GARIP Emilia","SWE","5152B","3.0","6.5","6.5","6.5","6.5","6.5","7.0","6.0","58.50","=12","250.55","25","99.95","preliminary","women's 3m springboard"
"26","KUZINA Elizaveta","RUS","405B","3.0","7.0","6.5","7.0","6.5","7.5","6.5","7.0","61.50","=7","61.50","=7","6.00","preliminary","women's 3m springboard"
"26","KUZINA Elizaveta","RUS","205B","3.0","6.5","6.5","6.5","7.0","6.5","7.0","6.5","58.50","=13","120.00","10","19.50","preliminary","women's 3m springboard"
"26","KUZINA Elizaveta","RUS","305B","3.0","2.0","1.0","2.0","1.5","1.5","2.0","1.0","15.00","48","135.00","40","76.50","preliminary","women's 3m springboard"
"26","KUZINA Elizaveta","RUS","107B","3.1","6.0","6.5","6.0","6.5","6.0","6.0","6.0","55.80","=15","190.80","33","98.20","preliminary","women's 3m springboard"
"26","KUZINA Elizaveta","RUS","5152B","3.0","6.5","6.5","6.5","6.5","6.0","7.0","6.0","58.50","=12","249.30","26","101.20","preliminary","women's 3m springboard"
"27","PEREZ Elizabeth","VEN","405C","2.7","7.0","6.5","6.0","6.5","7.0","7.0","6.5","54.00","=26","54.00","=26","13.50","preliminary","women's 3m springboard"
"27","PEREZ Elizabeth","VEN","107C","2.8","6.5","6.0","6.5","6.5","6.0","6.5","6.0","53.20","=26","107.20","22","32.30","preliminary","women's 3m springboard"
"27","PEREZ Elizabeth","VEN","205B","3.0","6.0","6.0","6.0","6.0","5.5","6.0","5.5","54.00","=21","161.20","22","50.30","preliminary","women's 3m springboard"
"27","PEREZ Elizabeth","VEN","305B","3.0","3.5","3.0","3.5","3.5","3.5","3.5","3.0","31.50","=41","192.70","28","96.30","preliminary","women's 3m springboard"
"27","PEREZ Elizabeth","VEN","5152B","3.0","6.0","6.0","6.5","6.0","6.0","6.0","5.0","54.00","=22","246.70","27","103.80","preliminary","women's 3m springboard"
"28","BERTOCCHI Elena","ITA","405C","2.7","7.0","5.5","7.0","6.0","7.0","7.0","7.0","56.70","=19","56.70","=19","10.80","preliminary","women's 3m springboard"
"28","BERTOCCHI Elena","ITA","107B","3.1","5.5","6.0","7.0","6.5","6.0","5.5","6.0","55.80","=17","112.50","=15","27.00","preliminary","women's 3m springboard"
"28","BERTOCCHI Elena","ITA","205B","3.0","5.5","6.0","5.0","5.5","5.5","5.5","5.0","49.50","=33","162.00","19","49.50","preliminary","women's 3m springboard"
"28","BERTOCCHI Elena","ITA","305B","3.0","3.5","3.5","3.0","3.5","3.5","3.0","3.0","30.00","=44","192.00","31","97.00","preliminary","women's 3m springboard"
"28","BERTOCCHI Elena","ITA","5152B","3.0","6.0","5.5","6.0","6.0","6.0","6.5","6.5","54.00","=22","246.00","28","104.50","preliminary","women's 3m springboard"
"29","PELLACANI Chiara","ITA","205B","3.0","5.5","6.0","7.0","6.5","6.0","7.0","6.0","55.50","=21","55.50","=21","12.00","preliminary","women's 3m springboard"
"29","PELLACANI Chiara","ITA","5152B","3.0","3.5","4.0","3.5","3.5","4.0","3.5","3.5","31.50","=44","87.00","40","52.50","preliminary","women's 3m springboard"
"29","PELLACANI Chiara","ITA","107B","3.1","6.0","5.5","5.0","6.0","5.5","5.5","6.0","52.70","24","139.70","36","71.80","preliminary","women's 3m springboard"
"29","PELLACANI Chiara","ITA","305B","3.0","5.0","5.0","5.0","5.5","4.5","4.5","6.5","45.00","=32","184.70","37","104.30","preliminary","women's 3m springboard"
"29","PELLACANI Chiara","ITA","405B","3.0","7.0","6.5","7.5","7.0","6.5","6.5","6.0","60.00","=9","244.70","29","105.80","preliminary","women's 3m springboard"
"30","ANTOLINO Valeria","ESP","405C","2.7","7.0","7.5","7.0","7.0","6.5","6.5","6.5","55.35","25","55.35","25","12.15","preliminary","women's 3m springboard"
"30","ANTOLINO Valeria","ESP","305C","2.8","6.0","6.0","5.5","5.5","6.0","5.5","6.0","49.00","32","104.35","28","35.15","preliminary","women's 3m springboard"
"30","ANTOLINO Valeria","ESP","205C","2.8","6.0","6.5","6.5","6.5","6.5","6.5","5.5","54.60","20","158.95","24","52.55","preliminary","women's 3m springboard"
"30","ANTOLINO Valeria","ESP","107C","2.8","5.0","5.0","4.5","4.0","5.0","5.0","4.5","40.60","36","199.55","25","89.45","preliminary","women's 3m springboard"
"30","ANTOLINO Valeria","ESP","5152B","3.0","5.0","5.0","5.0","5.5","4.0","5.5","4.5","45.00","=40","244.55","30","105.95","preliminary","women's 3m springboard"
"31","CRYAN Clare","IRL","405C","2.7","6.0","6.5","6.0","5.5","6.5","6.5","6.0","49.95","32","49.95","32","17.55","preliminary","women's 3m springboard"
"31","CRYAN Clare","IRL","107B","3.1","2.5","3.5","3.5","3.5","2.0","3.0","3.0","29.45","46","79.40","45","60.10","preliminary","women's 3m springboard"
"31","CRYAN Clare","IRL","205C","2.8","7.0","7.0","7.0","7.0","7.5","7.0","6.5","58.80","13","138.20","37","73.30","preliminary","women's 3m springboard"
"31","CRYAN Clare","IRL","305C","2.8","5.5","5.5","5.5","5.5","5.0","5.5","5.0","46.20","30","184.40","38","104.60","preliminary","women's 3m springboard"
"31","CRYAN Clare","IRL","5152B","3.0","5.5","5.5","6.5","6.5","6.5","6.5","6.5","58.50","=12","242.90","31","107.60","preliminary","women's 3m springboard"
"32","VELAZQUEZ Rocio","ESP","405B","3.0","6.5","6.5","7.0","6.5","6.5","6.5","6.5","58.50","=12","58.50","=12","9.00","preliminary","women's 3m springboard"
"32","VELAZQUEZ Rocio","ESP","5152B","3.0","5.5","5.0","5.5","5.5","5.0","5.5","5.0","48.00","34","106.50","23","33.00","preliminary","women's 3m springboard"
"32","VELAZQUEZ Rocio","ESP","305C","2.8","5.5","5.0","5.5","5.0","5.0","5.5","5.5","44.80","39","151.30","30","60.20","preliminary","women's 3m springboard"
"32","VELAZQUEZ Rocio","ESP","205B","3.0","6.0","5.0","5.0","5.0","5.0","5.0","5.0","45.00","=32","196.30","26","92.70","preliminary","women's 3m springboard"
"32","VELAZQUEZ Rocio","ESP","107C","2.8","6.0","5.5","6.0","5.5","5.0","5.5","5.5","46.20","38","242.50","32","108.00","preliminary","women's 3m springboard"
"33","URIBE Viviana","COL","305B","3.0","5.0","5.0","5.5","4.5","5.0","5.5","4.5","45.00","41","45.00","41","22.50","preliminary","women's 3m springboard"
"33","URIBE Viviana","COL","205B","3.0","5.5","5.5","6.0","6.0","5.5","5.5","5.0","49.50","31","94.50","34","45.00","preliminary","women's 3m springboard"
"33","URIBE Viviana","COL","107C","2.8","6.5","6.5","6.0","5.5","6.5","6.0","6.0","51.80","26","146.30","34","65.20","preliminary","women's 3m springboard"
"33","URIBE Viviana","COL","405C","2.7","6.0","6.0","6.0","5.0","5.5","5.0","5.5","45.90","31","192.20","29","96.80","preliminary","women's 3m springboard"
"33","URIBE Viviana","COL","5152B","3.0","5.5","6.5","5.5","6.0","5.5","5.5","5.0","49.50","=34","241.70","33","108.80","preliminary","women's 3m springboard"
"34","BOUTER Micaela","RSA","405B","3.0","7.0","7.0","6.5","6.5","7.0","7.0","6.5","61.50","=7","61.50","=7","6.00","preliminary","women's 3m springboard"
"34","BOUTER Micaela","RSA","107B","3.1","4.5","3.5","4.0","4.5","4.0","5.5","4.0","38.75","40","100.25","31","39.25","preliminary","women's 3m springboard"
"34","BOUTER Micaela","RSA","205B","3.0","6.0","5.5","5.0","5.5","4.5","5.0","5.0","46.50","37","146.75","33","64.75","preliminary","women's 3m springboard"
"34","BOUTER Micaela","RSA","305B","3.0","2.5","4.0","4.0","3.5","4.5","3.0","4.5","34.50","39","181.25","39","107.75","preliminary","women's 3m springboard"
"34","BOUTER Micaela","RSA","5152B","3.0","6.5","7.5","7.0","7.0","6.5","6.5","6.5","60.00","=9","241.25","34","109.25","preliminary","women's 3m springboard"
"35","MARIC Marcela","CRO","405C","2.7","6.5","7.0","6.5","6.5","6.0","6.0","6.0","51.30","29","51.30","29","16.20","preliminary","women's 3m springboard"
"35","MARIC Marcela","CRO","5152B","3.0","4.5","4.0","4.0","4.5","5.0","5.0","4.5","40.50","39","91.80","36","47.70","preliminary","women's 3m springboard"
"35","MARIC Marcela","CRO","305C","2.8","6.0","6.0","6.0","5.5","6.5","6.5","5.5","50.40","=28","142.20","35","69.30","preliminary","women's 3m springboard"
"35","MARIC Marcela","CRO","107B","3.1","5.0","4.5","5.0","5.0","4.5","4.5","4.5","43.40","35","185.60","36","103.40","preliminary","women's 3m springboard"
"35","MARIC Marcela","CRO","205B","3.0","6.5","6.5","5.5","6.5","6.0","6.0","6.0","55.50","=18","241.10","35","109.40","preliminary","women's 3m springboard"
"36","TUXEN Anne","NOR","205C","2.8","6.0","4.0","5.5","6.0","6.0","6.0","6.0","50.40","=30","50.40","=30","17.10","preliminary","women's 3m springboard"
"36","TUXEN Anne","NOR","305C","2.8","6.5","6.5","5.5","6.5","7.0","6.5","7.0","54.60","=20","105.00","=25","34.50","preliminary","women's 3m springboard"
"36","TUXEN Anne","NOR","405C","2.7","6.5","6.5","6.0","6.5","5.5","6.0","6.0","49.95","32","154.95","26","56.55","preliminary","women's 3m springboard"
"36","TUXEN Anne","NOR","107C","2.8","4.0","4.0","4.0","3.5","4.0","4.0","4.0","33.60","40","188.55","35","100.45","preliminary","women's 3m springboard"
"36","TUXEN Anne","NOR","5235D","2.8","6.5","6.5","6.0","6.0","6.0","6.0","7.0","51.80","=29","240.35","36","110.15","preliminary","women's 3m springboard"
"37","CHO Eunbi","KOR","405C","2.7","5.0","5.5","6.0","6.0","5.5","4.5","5.0","43.20","42","43.20","42","24.30","preliminary","women's 3m springboard"
"37","CHO Eunbi","KOR","105B","2.4","7.0","7.0","7.0","6.5","7.0","7.5","7.0","50.40","28","93.60","35","45.90","preliminary","women's 3m springboard"
"37","CHO Eunbi","KOR","305C","2.8","6.0","6.5","7.0","6.0","7.5","6.5","6.0","53.20","23","146.80","32","64.70","preliminary","women's 3m springboard"
"37","CHO Eunbi","KOR","205C","2.8","5.5","5.0","6.0","4.5","5.5","5.5","4.5","44.80","34","191.60","32","97.40","preliminary","women's 3m springboard"
"37","CHO Eunbi","KOR","5233D","2.4","7.0","6.5","6.5","7.0","6.5","7.0","6.0","48.00","37","239.60","37","110.90","preliminary","women's 3m springboard"
"38","HENTSCHEL Lena","GER","205B","3.0","5.5","6.0","6.0","5.5","6.0","7.0","6.0","54.00","=26","54.00","=26","13.50","preliminary","women's 3m springboard"
"38","HENTSCHEL Lena","GER","305B","3.0","6.5","6.5","7.0","6.5","7.0","7.0","6.5","60.00","11","114.00","=12","25.50","preliminary","women's 3m springboard"
"38","HENTSCHEL Lena","GER","5152B","3.0","6.0","6.5","6.0","5.5","6.0","6.0","6.5","54.00","=21","168.00","15","43.50","preliminary","women's 3m springboard"
"38","HENTSCHEL Lena","GER","107B","3.1","2.5","3.0","3.5","2.5","2.5","3.5","3.5","27.90","47","195.90","27","93.10","preliminary","women's 3m springboard"
"38","HENTSCHEL Lena","GER","405B","3.0","4.5","4.0","4.5","4.0","4.5","4.0","4.0","37.50","46","233.40","38","117.10","preliminary","women's 3m springboard"
"39","FONG Kay Yian","SGP","105B","2.4","7.0","7.5","6.0","7.0","7.0","7.0","7.0","50.40","=30","50.40","=30","17.10","preliminary","women's 3m springboard"
"39","FONG Kay Yian","SGP","405C","2.7","6.5","6.5","6.0","7.0","5.5","6.0","6.0","49.95","29","100.35","30","39.15","preliminary","women's 3m springboard"
"39","FONG Kay Yian","SGP","305C","2.8","6.0","6.0","6.0","5.5","6.0","6.0","5.5","50.40","=28","150.75","31","60.75","preliminary","women's 3m springboard"
"39","FONG Kay Yian","SGP","5333D","2.5","4.0","4.0","4.5","4.0","4.0","4.0","4.5","30.00","=44","180.75","40","108.25","preliminary","women's 3m springboard"
"39","FONG Kay Yian","SGP","205C","2.8","6.0","6.5","6.5","6.5","6.0","6.0","6.0","51.80","=29","232.55","39","117.95","preliminary","women's 3m springboard"
"40","OETTINGHAUS Saskia","GER","5152B","3.0","5.0","6.0","5.0","5.5","5.5","5.0","5.5","48.00","=38","48.00","=38","19.50","preliminary","women's 3m springboard"
"40","OETTINGHAUS Saskia","GER","107B","3.1","5.5","5.5","5.0","5.0","5.5","5.0","5.0","48.05","33","96.05","33","43.45","preliminary","women's 3m springboard"
"40","OETTINGHAUS Saskia","GER","305B","3.0","4.0","4.5","4.5","4.5","4.5","4.5","5.0","40.50","43","136.55","39","74.95","preliminary","women's 3m springboard"
"40","OETTINGHAUS Saskia","GER","205B","3.0","5.0","6.0","6.0","6.0","5.5","5.5","6.0","52.50","=20","189.05","34","99.95","preliminary","women's 3m springboard"
"40","OETTINGHAUS Saskia","GER","405B","3.0","4.5","5.0","5.0","4.5","4.5","5.0","4.5","42.00","44","231.05","40","119.45","preliminary","women's 3m springboard"
"41","FAVRE Jessica-Floriane","SUI","405B","3.0","4.5","5.5","5.5","5.5","5.5","6.5","4.5","49.50","=33","49.50","=33","18.00","preliminary","women's 3m springboard"
"41","FAVRE Jessica-Floriane","SUI","107B","3.1","4.5","4.5","4.0","4.5","4.5","5.0","4.5","41.85","38","91.35","37","48.15","preliminary","women's 3m springboard"
"41","FAVRE Jessica-Floriane","SUI","205B","3.0","4.5","4.0","4.0","3.0","3.5","4.0","4.0","36.00","45","127.35","42","84.15","preliminary","women's 3m springboard"
"41","FAVRE Jessica-Floriane","SUI","305B","3.0","4.5","4.0","4.0","4.0","4.5","4.5","4.5","39.00","=37","166.35","43","122.65","preliminary","women's 3m springboard"
"41","FAVRE Jessica-Floriane","SUI","5152B","3.0","5.5","7.0","6.0","6.5","5.5","6.0","6.0","54.00","=22","220.35","41","130.15","preliminary","women's 3m springboard"
"42","dos SANTOS Anna Lucia","BRA","405B","3.0","4.5","4.0","4.5","5.0","3.5","4.0","4.0","37.50","=45","37.50","=45","30.00","preliminary","women's 3m springboard"
"42","dos SANTOS Anna Lucia","BRA","205C","2.8","5.0","5.5","5.0","6.0","5.5","5.5","6.0","46.20","35","83.70","42","55.80","preliminary","women's 3m springboard"
"42","dos SANTOS Anna Lucia","BRA","305C","2.8","5.0","5.0","5.5","4.5","5.5","5.0","5.5","43.40","41","127.10","43","84.40","preliminary","women's 3m springboard"
"42","dos SANTOS Anna Lucia","BRA","5152B","3.0","5.0","5.0","5.5","6.0","4.5","5.5","5.0","46.50","=28","173.60","42","115.40","preliminary","women's 3m springboard"
"42","dos SANTOS Anna Lucia","BRA","105B","2.4","6.5","7.0","6.0","6.5","6.0","6.5","6.0","45.60","39","219.20","42","131.30","preliminary","women's 3m springboard"
"43","MAILLARD Alison","CHI","5152B","3.0","4.5","5.0","4.0","4.5","4.0","4.0","3.5","37.50","=45","37.50","=45","30.00","preliminary","women's 3m springboard"
"43","MAILLARD Alison","CHI","107B","3.1","4.5","4.5","5.5","5.0","4.0","5.0","5.0","44.95","37","82.45","43","57.05","preliminary","women's 3m springboard"
"43","MAILLARD Alison","CHI","205B","3.0","6.5","5.5","5.5","6.5","5.0","5.5","6.0","51.00","27","133.45","41","78.05","preliminary","women's 3m springboard"
"43","MAILLARD Alison","CHI","305B","3.0","3.0","3.0","3.5","3.5","2.5","3.5","3.0","28.50","46","161.95","44","127.05","preliminary","women's 3m springboard"
"43","MAILLARD Alison","CHI","405B","3.0","6.5","6.0","6.5","6.0","5.5","5.5","5.0","52.50","28","214.45","43","136.05","preliminary","women's 3m springboard"
"44","TUXEN Helle","NOR","405C","2.7","6.0","6.0","6.5","6.0","5.5","5.0","6.0","48.60","=35","48.60","=35","18.90","preliminary","women's 3m springboard"
"44","TUXEN Helle","NOR","107C","2.8","4.0","3.5","3.5","4.5","3.5","4.0","4.5","32.20","43","80.80","44","58.70","preliminary","women's 3m springboard"
"44","TUXEN Helle","NOR","305C","2.8","5.5","5.0","4.5","6.0","6.0","5.5","5.5","46.20","38","127.00","44","84.50","preliminary","women's 3m springboard"
"44","TUXEN Helle","NOR","205C","2.8","6.0","5.5","5.5","6.0","5.5","6.0","5.5","47.60","27","174.60","41","114.40","preliminary","women's 3m springboard"
"44","TUXEN Helle","NOR","5152B","3.0","4.0","3.0","4.5","4.0","3.5","4.0","4.0","36.00","47","210.60","44","139.90","preliminary","women's 3m springboard"
"45","EISSA Maha","EGY","5152B","3.0","3.5","4.0","4.0","3.5","4.0","4.0","4.0","36.00","48","36.00","48","31.50","preliminary","women's 3m springboard"
"45","EISSA Maha","EGY","107B","3.1","3.0","3.5","4.0","3.5","4.0","3.5","4.0","34.10","42","70.10","47","69.40","preliminary","women's 3m springboard"
"45","EISSA Maha","EGY","305B","3.0","6.0","5.5","6.0","5.0","5.5","6.0","6.5","52.50","25","122.60","45","88.90","preliminary","women's 3m springboard"
"45","EISSA Maha","EGY","205B","3.0","2.5","3.0","2.5","3.0","2.5","3.5","2.5","24.00","48","146.60","48","142.40","preliminary","women's 3m springboard"
"45","EISSA Maha","EGY","405C","2.7","6.0","6.5","6.0","6.0","6.0","6.0","6.0","48.60","36","195.20","45","155.30","preliminary","women's 3m springboard"
"46","SKRZEK Kaja","POL","205C","2.8","4.5","4.5","4.0","4.5","4.0","4.5","4.5","37.80","44","37.80","44","29.70","preliminary","women's 3m springboard"
"46","SKRZEK Kaja","POL","305C","2.8","6.0","6.5","6.5","6.5","6.0","5.5","6.5","53.20","=26","91.00","38","48.50","preliminary","women's 3m springboard"
"46","SKRZEK Kaja","POL","107B","3.1","3.0","2.5","3.0","3.0","2.0","3.0","2.5","26.35","47","117.35","46","94.15","preliminary","women's 3m springboard"
"46","SKRZEK Kaja","POL","405B","3.0","3.5","3.0","4.5","3.5","4.0","3.5","3.5","31.50","=41","148.85","46","140.15","preliminary","women's 3m springboard"
"46","SKRZEK Kaja","POL","5152B","3.0","4.5","5.5","5.0","5.0","5.0","4.5","5.0","45.00","=40","193.85","46","156.65","preliminary","women's 3m springboard"
"47","MICLAU Elizabeth Emma","PUR","105B","2.4","5.5","5.0","5.0","5.5","5.0","5.0","5.5","37.20","47","37.20","47","30.30","preliminary","women's 3m springboard"
"47","MICLAU Elizabeth Emma","PUR","205C","2.8","4.5","4.0","4.0","4.0","4.0","5.0","4.5","35.00","41","72.20","46","67.30","preliminary","women's 3m springboard"
"47","MICLAU Elizabeth Emma","PUR","305C","2.8","3.0","3.0","3.5","3.5","3.5","3.5","3.5","29.40","46","101.60","48","109.90","preliminary","women's 3m springboard"
"47","MICLAU Elizabeth Emma","PUR","405C","2.7","6.0","6.0","6.0","6.0","5.5","5.5","6.0","48.60","25","150.20","45","138.80","preliminary","women's 3m springboard"
"47","MICLAU Elizabeth Emma","PUR","5136D","3.0","4.5","4.0","4.5","4.5","4.5","4.5","4.0","40.50","45","190.70","47","159.80","preliminary","women's 3m springboard"
"48","TAN Ashlee Yi Xuan","SGP","405C","2.7","5.0","6.0","5.5","6.5","6.0","6.5","5.5","47.25","40","47.25","40","20.25","preliminary","women's 3m springboard"
"48","TAN Ashlee Yi Xuan","SGP","107C","2.8","4.5","4.0","3.5","3.0","4.5","5.0","4.5","*19.60","48","66.85","48","72.65","preliminary","women's 3m springboard"
"48","TAN Ashlee Yi Xuan","SGP","205C","2.8","6.0","6.0","6.0","6.0","5.5","6.0","6.0","50.40","=28","117.25","47","94.25","preliminary","women's 3m springboard"
"48","TAN Ashlee Yi Xuan","SGP","305C","2.8","3.0","4.0","3.5","3.0","3.5","4.5","4.0","30.80","43","148.05","47","140.95","preliminary","women's 3m springboard"
"48","TAN Ashlee Yi Xuan","SGP","5152B","3.0","4.0","4.0","4.5","4.0","2.5","2.0","3.5","34.50","48","182.55","48","167.95","preliminary","women's 3m springboard"
"1","DALEY Thomas","GBR","307C","3.4","9.0","9.5","9.0","9.0","9.0","9.0","9.0","91.80","1","91.80","1",NA,"preliminary"," men's 10m platform"
"1","DALEY Thomas","GBR","407C","3.2","8.5","8.0","9.0","9.0","8.5","8.0","8.5","81.60","=2","173.40","1",NA,"preliminary"," men's 10m platform"
"1","DALEY Thomas","GBR","5172B","3.6","8.0","7.5","7.5","8.5","7.5","7.0","7.0","81.00","=6","254.40","1",NA,"preliminary"," men's 10m platform"
"1","DALEY Thomas","GBR","626B","3.5","8.0","8.5","7.5","9.0","9.0","8.0","8.5","87.50","2","341.90","1",NA,"preliminary"," men's 10m platform"
"1","DALEY Thomas","GBR","109C","3.7","9.0","8.5","9.0","9.0","7.5","7.5","8.5","96.20","1","438.10","1",NA,"preliminary"," men's 10m platform"
"1","DALEY Thomas","GBR","207B","3.6","5.5","6.5","6.5","7.0","6.5","6.5","6.0","70.20","=16","508.30","1",NA,"preliminary"," men's 10m platform"
"2","WILLARS VALDEZ Randal","MEX","407B","3.5","8.0","8.5","7.5","8.0","8.0","8.5","7.5","84.00","3","84.00","3","7.80","preliminary"," men's 10m platform"
"2","WILLARS VALDEZ Randal","MEX","207B","3.6","8.0","8.5","7.5","6.5","8.0","7.0","8.5","84.60","1","168.60","2","4.80","preliminary"," men's 10m platform"
"2","WILLARS VALDEZ Randal","MEX","626B","3.5","7.5","8.0","8.0","8.5","8.0","8.5","8.0","84.00","3","252.60","2","1.80","preliminary"," men's 10m platform"
"2","WILLARS VALDEZ Randal","MEX","109C","3.7","5.5","6.5","6.0","7.0","6.5","6.0","6.0","68.45","15","321.05","2","20.85","preliminary"," men's 10m platform"
